id_usager,id_pays,age,sexe,place_vehicule,gravite,cat_usager
99,1,67.0,Féminin,Avant gauche,Indemne,Conducteur
100,1,66.0,Masculin,Avant droit,Indemne,Passager
101,1,46.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
102,1,70.0,Masculin,Avant gauche,Indemne,Conducteur
103,1,57.0,Masculin,Unknown,Blessé léger,Piéton
104,1,15.0,Masculin,Unknown,Blessé léger,Piéton
105,1,59.0,Masculin,Avant gauche,Indemne,Conducteur
106,1,12.0,Masculin,Unknown,Blessé léger,Piéton
107,1,62.0,Masculin,Avant gauche,Tué,Conducteur
108,1,19.0,Masculin,Arrière centre,Blessé hospitalisé,Passager
109,1,22.0,Masculin,Avant droit,Blessé hospitalisé,Passager
110,1,19.0,Masculin,Arrière centre,Blessé léger,Passager
111,1,21.0,Masculin,Arrière centre,Blessé léger,Passager
112,1,32.0,Masculin,Avant gauche,Indemne,Conducteur
113,1,22.0,Féminin,Avant droit,Blessé hospitalisé,Passager
114,1,28.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
115,1,65.0,Masculin,Avant gauche,Indemne,Conducteur
116,1,67.0,Féminin,Avant droit,Blessé léger,Passager
117,1,69.0,Féminin,Avant gauche,Tué,Conducteur
118,1,28.0,Féminin,Avant gauche,Blessé léger,Conducteur
119,1,24.0,Féminin,Avant gauche,Tué,Conducteur
120,1,50.0,Masculin,Avant gauche,Blessé léger,Conducteur
121,1,23.0,Masculin,Avant gauche,Indemne,Conducteur
122,1,39.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
123,1,52.0,Masculin,Avant gauche,Indemne,Conducteur
124,1,41.0,Masculin,Avant gauche,Indemne,Conducteur
125,1,8.0,Masculin,Arrière,Indemne,Passager
126,1,17.0,Féminin,Arrière droit,Indemne,Passager
127,1,15.0,Masculin,Arrière gauche,Blessé léger,Passager
128,1,40.0,Féminin,Avant droit,Blessé léger,Passager
129,1,71.0,Masculin,Avant gauche,Tué,Conducteur
130,1,68.0,Féminin,Avant droit,Tué,Passager
131,1,28.0,Masculin,Avant gauche,Blessé léger,Conducteur
132,1,49.0,Masculin,Avant gauche,Blessé léger,Conducteur
133,1,46.0,Féminin,Avant droit,Blessé hospitalisé,Passager
134,1,37.0,Masculin,Avant gauche,Blessé léger,Conducteur
135,1,69.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
136,1,37.0,Masculin,Avant gauche,Indemne,Conducteur
137,1,34.0,Féminin,Avant gauche,Indemne,Conducteur
138,1,17.0,Masculin,Avant droit,Blessé hospitalisé,Passager
139,1,17.0,Masculin,Avant droit,Indemne,Passager
140,1,24.0,Masculin,Avant gauche,Indemne,Conducteur
141,1,20.0,Masculin,Arrière gauche,Indemne,Passager
142,1,26.0,Féminin,Avant droit,Indemne,Passager
143,1,22.0,Féminin,Arrière droit,Blessé léger,Passager
144,1,53.0,Féminin,Unknown,Blessé hospitalisé,Piéton
145,1,44.0,Masculin,Avant gauche,Indemne,Conducteur
146,1,44.0,Féminin,Avant droit,Indemne,Passager
147,1,28.0,Masculin,Avant gauche,Indemne,Conducteur
148,1,31.0,Masculin,Avant droit,Indemne,Passager
149,1,33.0,Masculin,Unknown,Blessé hospitalisé,Piéton
150,1,15.0,Féminin,Unknown,Blessé hospitalisé,Piéton
151,1,10.0,Féminin,Unknown,Blessé léger,Piéton
152,1,48.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
153,1,72.0,Masculin,Avant droit,Indemne,Passager
154,1,65.0,Masculin,Arrière droit,Indemne,Passager
155,1,55.0,Féminin,Arrière gauche,Indemne,Passager
156,1,17.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
157,1,18.0,Masculin,Avant droit,Blessé léger,Passager
158,1,27.0,Masculin,Avant gauche,Indemne,Conducteur
159,1,82.0,Féminin,Unknown,Blessé hospitalisé,Piéton
160,1,54.0,Masculin,Avant gauche,Indemne,Conducteur
161,1,50.0,Féminin,Avant droit,Indemne,Passager
162,1,40.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
163,1,19.0,Masculin,Avant gauche,Indemne,Conducteur
164,1,71.0,Masculin,Avant gauche,Blessé léger,Conducteur
165,1,21.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
166,1,19.0,Masculin,Avant droit,Indemne,Passager
167,1,19.0,Masculin,Arrière droit,Indemne,Passager
168,1,24.0,Masculin,Avant gauche,Blessé léger,Conducteur
169,1,31.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
170,1,14.0,Féminin,Unknown,Blessé hospitalisé,Piéton
171,1,30.0,Masculin,Avant gauche,Blessé léger,Conducteur
172,1,32.0,Féminin,Avant gauche,Blessé léger,Conducteur
173,1,22.0,Masculin,Arrière gauche,Indemne,Passager
174,1,40.0,Féminin,Avant droit,Blessé hospitalisé,Passager
175,1,51.0,Masculin,Avant gauche,Indemne,Conducteur
176,1,62.0,Masculin,Avant gauche,Blessé léger,Conducteur
177,1,73.0,Masculin,Avant gauche,Indemne,Conducteur
178,1,5.0,Masculin,Unknown,Tué,Piéton
179,1,20.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
180,1,33.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
181,1,30.0,Masculin,Avant droit,Blessé hospitalisé,Passager
182,1,20.0,Féminin,Avant gauche,Indemne,Conducteur
183,1,63.0,Masculin,Avant gauche,Indemne,Conducteur
184,1,51.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
185,1,38.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
186,1,58.0,Féminin,Avant gauche,Blessé léger,Conducteur
187,1,58.0,Masculin,Avant gauche,Tué,Conducteur
