id_vehicule,id_pays,type_vehicule,manoeuvre,nb_occupants,motorisation
97,1,Tracteur agricole,"Même sens, même file",0.0,Unknown
98,1,"PL >3,5T + remorque",Unknown,0.0,Unknown
99,1,Référence inutilisée,En stationnement (avec occupants),1.0,Unknown
100,1,"PL >3,5T + remorque",Déporté à gauche,0.0,Unknown
101,1,Référence inutilisée,Sans changement de direction,27.0,Unknown
102,1,Référence inutilisée,A contresens,0.0,Unknown
103,1,"PL seul >7,5T",Tournant à gauche,0.0,Unknown
104,1,Référence inutilisée,Sans changement de direction,52.0,Unknown
105,1,Référence inutilisée,Sans changement de direction,25.0,Unknown
106,1,Référence inutilisée,Changeant de file à gauche,10.0,Unknown
107,1,Référence inutilisée,A contresens,8.0,Unknown
108,1,Autre véhicule,Unknown,0.0,Unknown
109,1,Bicyclette,Déporté à droite,0.0,Unknown
110,1,"PL seul 3,5T<PTAC<=7,5T",Tournant à gauche,0.0,Unknown
111,1,Cyclomoteur <50cm3,Changeant de file à gauche,0.0,Unknown
112,1,Cyclomoteur <50cm3,Déporté à droite,0.0,Unknown
113,1,VL seul,Dépassant à droite,0.0,Unknown
114,1,Voiturette,Traversant la chaussée,0.0,Unknown
115,1,Référence inutilisée,Sans changement de direction,14.0,Unknown
116,1,Référence inutilisée,Sans changement de direction,20.0,Unknown
117,1,Tracteur routier + semi-remorque,A contresens,0.0,Unknown
118,1,"PL >3,5T + remorque",En marche arrière,0.0,Unknown
119,1,"PL seul >7,5T","Même sens, même file",0.0,Unknown
120,1,Référence inutilisée,Sans changement de direction,11.0,Unknown
121,1,Référence inutilisée,Unknown,6.0,Unknown
122,1,Engin spécial,Sans changement de direction,0.0,Unknown
123,1,VL seul,Entre 2 files,0.0,Unknown
124,1,Référence inutilisée,Changeant de file à gauche,0.0,Unknown
125,1,"VU seul 1,5T<=PTAC<=3,5T",En franchissant le terre-plein central,0.0,Unknown
126,1,"PL seul >7,5T",En franchissant le terre-plein central,0.0,Unknown
127,1,Voiturette,A contresens,0.0,Unknown
128,1,Cyclomoteur <50cm3,Manœuvre de stationnement,0.0,Unknown
129,1,Engin spécial,En s'insérant,0.0,Unknown
130,1,Cyclomoteur <50cm3,En s'insérant,0.0,Unknown
131,1,Référence inutilisée,"Même sens, même file",40.0,Unknown
132,1,Référence inutilisée,Déporté à gauche,6.0,Unknown
133,1,"PL seul 3,5T<PTAC<=7,5T","Même sens, même file",0.0,Unknown
134,1,VL seul,Changeant de file à droite,0.0,Unknown
135,1,"VU seul 1,5T<=PTAC<=3,5T",Unknown,0.0,Unknown
136,1,Référence inutilisée,"Même sens, même file",26.0,Unknown
137,1,"PL >3,5T + remorque","Même sens, même file",0.0,Unknown
138,1,Autre véhicule,"Même sens, même file",0.0,Unknown
139,1,"VU seul 1,5T<=PTAC<=3,5T",Déporté à droite,0.0,Unknown
140,1,Référence inutilisée,En s'insérant,0.0,Unknown
141,1,Tracteur routier seul,Sans changement de direction,0.0,Unknown
142,1,"PL seul >7,5T",A contresens,0.0,Unknown
143,1,Autre véhicule,Manœuvre d'évitement,0.0,Unknown
144,1,Autre véhicule,En stationnement (avec occupants),0.0,Unknown
145,1,Tracteur routier + semi-remorque,En stationnement (avec occupants),0.0,Unknown
146,1,Voiturette,En marche arrière,0.0,Unknown
147,1,Voiturette,"Même sens, même file",0.0,Unknown
148,1,Voiturette,Sans changement de direction,0.0,Unknown
149,1,VL seul,"Dans le couloir bus, dans le même sens",0.0,Unknown
150,1,Cyclomoteur <50cm3,"Dans le couloir bus, dans le même sens",0.0,Unknown
151,1,Référence inutilisée,Dépassant à droite,0.0,Unknown
152,1,"VU seul 1,5T<=PTAC<=3,5T",En marche arrière,0.0,Unknown
153,1,Référence inutilisée,Arrêté (hors stationnement),0.0,Unknown
154,1,Référence inutilisée,Arrêté (hors stationnement),33.0,Unknown
155,1,Référence inutilisée,"Dans le couloir bus, dans le même sens",0.0,Unknown
156,1,Référence inutilisée,Sans changement de direction,26.0,Unknown
157,1,Référence inutilisée,Sans changement de direction,12.0,Unknown
158,1,Cyclomoteur <50cm3,"Dans le couloir bus, dans le sens inverse",0.0,Unknown
159,1,"VU seul 1,5T<=PTAC<=3,5T",Arrêté (hors stationnement),0.0,Unknown
160,1,"VU seul 1,5T<=PTAC<=3,5T",Changeant de file à droite,0.0,Unknown
161,1,Référence inutilisée,"Dans le couloir bus, dans le sens inverse",0.0,Unknown
162,1,"VU seul 1,5T<=PTAC<=3,5T",Tournant à droite,0.0,Unknown
163,1,"VU seul 1,5T<=PTAC<=3,5T",Changeant de file à gauche,0.0,Unknown
164,1,Bicyclette,Dépassant à gauche,0.0,Unknown
165,1,Référence inutilisée,Tournant à gauche,6.0,Unknown
166,1,"VU seul 1,5T<=PTAC<=3,5T",Manœuvre de stationnement,0.0,Unknown
167,1,"VU seul 1,5T<=PTAC<=3,5T",En s'insérant,0.0,Unknown
168,1,Engin spécial,Tournant à gauche,0.0,Unknown
169,1,Référence inutilisée,Sans changement de direction,10.0,Unknown
170,1,Cyclomoteur <50cm3,Entre 2 files,0.0,Unknown
171,1,Référence inutilisée,Déporté à gauche,10.0,Unknown
172,1,"PL seul 3,5T<PTAC<=7,5T","Dans le couloir bus, dans le même sens",0.0,Unknown
173,1,Référence inutilisée,"Dans le couloir bus, dans le même sens",10.0,Unknown
174,1,Engin spécial,Unknown,0.0,Unknown
175,1,VL seul,Ouverture de porte,0.0,Unknown
176,1,Autre véhicule,Tournant à droite,0.0,Unknown
177,1,VL seul,"Dans le couloir bus, dans le sens inverse",0.0,Unknown
178,1,"PL seul 3,5T<PTAC<=7,5T",Unknown,0.0,Unknown
179,1,Référence inutilisée,En franchissant le terre-plein central,0.0,Unknown
180,1,Référence inutilisée,Unknown,3.0,Unknown
181,1,"VU seul 1,5T<=PTAC<=3,5T",En stationnement (avec occupants),0.0,Unknown
182,1,Tracteur routier seul,Changeant de file à droite,0.0,Unknown
183,1,"VU seul 1,5T<=PTAC<=3,5T",Manœuvre d'évitement,0.0,Unknown
184,1,"PL seul >7,5T",Arrêté (hors stationnement),0.0,Unknown
185,1,Référence inutilisée,Déporté à gauche,13.0,Unknown
186,1,"PL seul >7,5T",En s'insérant,0.0,Unknown
187,1,Référence inutilisée,"Dans le couloir bus, dans le même sens",45.0,Unknown
188,1,Cyclomoteur <50cm3,En franchissant le terre-plein central,0.0,Unknown
189,1,"VU seul 1,5T<=PTAC<=3,5T","Dans le couloir bus, dans le même sens",0.0,Unknown
190,1,Voiturette,Tournant à droite,0.0,Unknown
191,1,Référence inutilisée,Arrêté (hors stationnement),39.0,Unknown
192,1,Bicyclette,Entre 2 files,0.0,Unknown
193,1,Référence inutilisée,Unknown,5.0,Unknown
194,1,Référence inutilisée,"Même sens, même file",3.0,Unknown
195,1,"PL >3,5T + remorque",Déporté à droite,0.0,Unknown
196,1,Cyclomoteur <50cm3,Ouverture de porte,0.0,Unknown
197,1,"PL seul >7,5T",En marche arrière,0.0,Unknown
198,1,Engin spécial,"Même sens, même file",0.0,Unknown
199,1,"PL >3,5T + remorque",En faisant demi-tour,0.0,Unknown
200,1,"PL seul 3,5T<PTAC<=7,5T",Traversant la chaussée,0.0,Unknown
201,1,Référence inutilisée,En faisant demi-tour,0.0,Unknown
202,1,Référence inutilisée,Tournant à droite,2.0,Unknown
203,1,Bicyclette,Dépassant à droite,0.0,Unknown
204,1,Référence inutilisée,Arrêté (hors stationnement),1.0,Unknown
205,1,Référence inutilisée,Tournant à gauche,31.0,Unknown
206,1,"PL seul >7,5T",Tournant à droite,0.0,Unknown
207,1,Référence inutilisée,Manœuvre de stationnement,1.0,Unknown
208,1,Référence inutilisée,En s'insérant,15.0,Unknown
209,1,Référence inutilisée,En s'insérant,10.0,Unknown
210,1,Autre véhicule,Tournant à gauche,0.0,Unknown
211,1,Référence inutilisée,"Même sens, même file",1.0,Unknown
212,1,Autre véhicule,En faisant demi-tour,0.0,Unknown
213,1,Tracteur routier + semi-remorque,En s'insérant,0.0,Unknown
214,1,Référence inutilisée,"Dans le couloir bus, dans le même sens",15.0,Unknown
215,1,Référence inutilisée,Sans changement de direction,32.0,Unknown
216,1,"PL seul 3,5T<PTAC<=7,5T",En marche arrière,0.0,Unknown
217,1,Référence inutilisée,"Même sens, même file",10.0,Unknown
218,1,Référence inutilisée,Manœuvre de stationnement,10.0,Unknown
219,1,"PL >3,5T + remorque",Changeant de file à droite,0.0,Unknown
220,1,"PL >3,5T + remorque",Traversant la chaussée,0.0,Unknown
221,1,"VU seul 1,5T<=PTAC<=3,5T",A contresens,0.0,Unknown
222,1,"VU seul 1,5T<=PTAC<=3,5T",Ouverture de porte,0.0,Unknown
223,1,"PL seul 3,5T<PTAC<=7,5T",En s'insérant,0.0,Unknown
224,1,"VU seul 1,5T<=PTAC<=3,5T",En faisant demi-tour,0.0,Unknown
225,1,"PL seul 3,5T<PTAC<=7,5T",Changeant de file à droite,0.0,Unknown
226,1,Bicyclette,"Dans le couloir bus, dans le même sens",0.0,Unknown
227,1,Référence inutilisée,Entre 2 files,0.0,Unknown
228,1,Bicyclette,Tournant à droite,0.0,Unknown
229,1,Référence inutilisée,Changeant de file à droite,0.0,Unknown
230,1,Tracteur routier + semi-remorque,Changeant de file à droite,0.0,Unknown
231,1,"PL seul >7,5T",Changeant de file à droite,0.0,Unknown
232,1,Autre véhicule,A contresens,0.0,Unknown
233,1,Tracteur routier seul,Arrêté (hors stationnement),0.0,Unknown
234,1,Bicyclette,Changeant de file à droite,0.0,Unknown
235,1,Autre véhicule,Arrêté (hors stationnement),0.0,Unknown
236,1,Référence inutilisée,Tournant à droite,1.0,Unknown
237,1,"PL seul >7,5T",Changeant de file à gauche,0.0,Unknown
238,1,Référence inutilisée,"Même sens, même file",20.0,Unknown
239,1,VL seul,Manœuvre de stationnement,100.0,Unknown
240,1,Référence inutilisée,"Dans le couloir bus, dans le même sens",1.0,Unknown
241,1,Référence inutilisée,Arrêté (hors stationnement),5.0,Unknown
242,1,Référence inutilisée,En stationnement (avec occupants),0.0,Unknown
243,1,Référence inutilisée,"Même sens, même file",6.0,Unknown
244,1,Référence inutilisée,Manœuvre de stationnement,0.0,Unknown
245,1,Référence inutilisée,"Même sens, même file",12.0,Unknown
246,1,Référence inutilisée,Déporté à gauche,1.0,Unknown
247,1,Référence inutilisée,"Même sens, même file",30.0,Unknown
248,1,Autre véhicule,Traversant la chaussée,0.0,Unknown
249,1,Référence inutilisée,Sans changement de direction,29.0,Unknown
250,1,Référence inutilisée,"Dans le couloir bus, dans le même sens",3.0,Unknown
251,1,Engin spécial,Tournant à droite,0.0,Unknown
252,1,Cyclomoteur <50cm3,En faisant demi-tour,0.0,Unknown
253,1,"PL >3,5T + remorque",Manœuvre d'évitement,0.0,Unknown
254,1,Tracteur routier seul,Dépassant à gauche,0.0,Unknown
255,1,Autre véhicule,Dépassant à gauche,0.0,Unknown
256,1,Référence inutilisée,Unknown,1.0,Unknown
257,1,"PL >3,5T + remorque",Dépassant à gauche,0.0,Unknown
258,1,Tracteur routier + semi-remorque,Changeant de file à gauche,0.0,Unknown
259,1,Référence inutilisée,"Dans le couloir bus, dans le même sens",11.0,Unknown
260,1,Référence inutilisée,"Dans le couloir bus, dans le même sens",35.0,Unknown
261,1,Tracteur routier seul,Tournant à droite,0.0,Unknown
262,1,Référence inutilisée,Tournant à gauche,20.0,Unknown
263,1,Référence inutilisée,Sans changement de direction,41.0,Unknown
264,1,Référence inutilisée,En marche arrière,0.0,Unknown
265,1,"PL seul >7,5T",Entre 2 files,0.0,Unknown
266,1,Tracteur routier + semi-remorque,Traversant la chaussée,0.0,Unknown
267,1,Référence inutilisée,Déporté à gauche,4.0,Unknown
268,1,Référence inutilisée,Arrêté (hors stationnement),30.0,Unknown
269,1,"PL seul 3,5T<PTAC<=7,5T",Déporté à gauche,0.0,Unknown
270,1,Référence inutilisée,Unknown,26.0,Unknown
271,1,Référence inutilisée,En stationnement (avec occupants),2.0,Unknown
272,1,"PL seul 3,5T<PTAC<=7,5T",Arrêté (hors stationnement),0.0,Unknown
273,1,Référence inutilisée,Ouverture de porte,4.0,Unknown
274,1,Référence inutilisée,Sans changement de direction,30.0,Unknown
275,1,"PL seul >7,5T",Manœuvre de stationnement,0.0,Unknown
276,1,"PL seul >7,5T","Dans le couloir bus, dans le même sens",0.0,Unknown
277,1,"PL seul 3,5T<PTAC<=7,5T",Manœuvre de stationnement,0.0,Unknown
278,1,Cyclomoteur <50cm3,Changeant de file à droite,0.0,Unknown
279,1,Voiturette,Déporté à droite,0.0,Unknown
280,1,Voiturette,Déporté à gauche,0.0,Unknown
281,1,Référence inutilisée,"Dans le couloir bus, dans le même sens",30.0,Unknown
282,1,Engin spécial,Traversant la chaussée,0.0,Unknown
283,1,Référence inutilisée,Dépassant à gauche,40.0,Unknown
284,1,Tracteur routier + semi-remorque,En faisant demi-tour,0.0,Unknown
285,1,"PL >3,5T + remorque",Changeant de file à gauche,0.0,Unknown
286,1,Tracteur routier seul,Tournant à gauche,0.0,Unknown
287,1,"PL seul >7,5T",Déporté à droite,0.0,Unknown
288,1,"PL seul >7,5T",En faisant demi-tour,0.0,Unknown
289,1,Référence inutilisée,Tournant à gauche,1.0,Unknown
290,1,Référence inutilisée,Arrêté (hors stationnement),4.0,Unknown
291,1,Référence inutilisée,Sans changement de direction,4.0,Unknown
292,1,Tracteur routier + semi-remorque,En franchissant le terre-plein central,0.0,Unknown
293,1,Référence inutilisée,En s'insérant,1.0,Unknown
