id_usager,id_pays,age,sexe,place_vehicule,gravite,cat_usager
126,826,5,Female,Not passenger,Serious,Pedestrian
127,826,24,Male,Not passenger,Slight,Driver or rider
128,826,9,Male,Not passenger,Slight,Pedestrian
129,826,5,Male,Not passenger,Slight,Pedestrian
130,826,43,Male,Not passenger,Slight,Driver or rider
131,826,40,Female,Not passenger,Slight,Driver or rider
132,826,70,Female,Front seat,Slight,Passenger
133,826,,Female,Not passenger,Slight,Passenger
134,826,52,Female,Not passenger,Slight,Driver or rider
135,826,24,Male,Rear seat,Serious,Passenger
136,826,34,Female,Rear seat,Slight,Passenger
137,826,32,Male,Not passenger,Serious,Driver or rider
138,826,33,Male,Not passenger,Slight,Driver or rider
139,826,13,Male,Not passenger,Slight,Driver or rider
140,826,25,Female,Not passenger,Slight,Driver or rider
141,826,23,Male,Not passenger,Slight,Driver or rider
142,826,18,Male,Not passenger,Slight,Pedestrian
143,826,36,Male,Not passenger,Slight,Driver or rider
144,826,76,Male,Front seat,Serious,Passenger
145,826,50,Female,Front seat,Slight,Passenger
146,826,41,Male,Not passenger,Slight,Driver or rider
147,826,16,Male,Not passenger,Serious,Driver or rider
148,826,5,Female,Not passenger,Slight,Pedestrian
149,826,70,Male,Boarding/alighting,Slight,Passenger
150,826,50,Female,Not passenger,Slight,Driver or rider
151,826,21,Male,Not passenger,Slight,Driver or rider
152,826,17,Male,Not passenger,Serious,Driver or rider
153,826,53,Male,Rear seat,Slight,Passenger
154,826,21,Female,Not passenger,Slight,Driver or rider
155,826,,Female,Not passenger,Serious,Pedestrian
156,826,65,Male,Not passenger,Serious,Pedestrian
157,826,25,Male,Not passenger,Serious,Driver or rider
158,826,41,Male,Not passenger,Serious,Driver or rider
159,826,4,Male,Not passenger,Slight,Passenger
160,826,4,Female,Front seat,Slight,Passenger
161,826,29,Male,Not passenger,Serious,Pedestrian
162,826,38,Male,Not passenger,Slight,Pedestrian
163,826,6,Female,Not passenger,Slight,Pedestrian
164,826,5,Male,Not passenger,Serious,Pedestrian
165,826,63,Female,Rear seat,Slight,Passenger
166,826,25,Female,Not passenger,Serious,Passenger
167,826,70,Female,Not passenger,Serious,Driver or rider
168,826,30,Female,Not passenger,Slight,Driver or rider
169,826,30,Female,Not passenger,Serious,Driver or rider
170,826,56,Male,Not passenger,Slight,Driver or rider
171,826,34,Male,Not passenger,Slight,Driver or rider
172,826,7,Male,Not passenger,Slight,Pedestrian
173,826,40,Female,Not passenger,Serious,Driver or rider
174,826,42,Female,Not passenger,Slight,Driver or rider
175,826,16,Female,Not passenger,Serious,Pedestrian
176,826,14,Male,Not passenger,Slight,Driver or rider
177,826,18,Female,Rear seat,Slight,Passenger
178,826,64,Female,Not passenger,Slight,Pedestrian
179,826,10,Male,Not passenger,Serious,Pedestrian
180,826,16,Female,Rear seat,Slight,Passenger
181,826,57,Female,Not passenger,Serious,Driver or rider
182,826,54,Male,Not passenger,Slight,Driver or rider
183,826,60,Female,Not passenger,Slight,Pedestrian
184,826,60,Female,Front seat,Slight,Passenger
185,826,50,Male,Not passenger,Slight,Pedestrian
186,826,9,Male,Not passenger,Serious,Driver or rider
187,826,21,Male,Not passenger,Serious,Pedestrian
188,826,35,Female,Not passenger,Slight,Driver or rider
189,826,5,Male,Front seat,Serious,Passenger
190,826,16,Male,Unknown,Slight,Passenger
191,826,34,Female,Boarding/alighting,Slight,Passenger
192,826,55,Male,Not passenger,Slight,Driver or rider
193,826,25,Male,Not passenger,Serious,Pedestrian
194,826,52,Male,Not passenger,Serious,Pedestrian
195,826,3,Male,Not passenger,Slight,Pedestrian
196,826,72,Female,Not passenger,Slight,Pedestrian
197,826,5,Male,Front seat,Slight,Passenger
198,826,11,Female,Not passenger,Slight,Pedestrian
199,826,7,Male,Front seat,Slight,Passenger
200,826,12,Female,Not passenger,Slight,Pedestrian
201,826,56,Female,Not passenger,Serious,Pedestrian
202,826,50,Male,Not passenger,Serious,Pedestrian
203,826,65,Male,Not passenger,Slight,Driver or rider
204,826,19,Male,Rear seat,Slight,Passenger
205,826,59,Male,Not passenger,Slight,Driver or rider
206,826,84,Male,Not passenger,Slight,Pedestrian
207,826,12,Male,Unknown,Slight,Passenger
208,826,21,Male,Not passenger,Serious,Passenger
209,826,28,Male,Not passenger,Serious,Driver or rider
210,826,19,Female,Front seat,Serious,Passenger
211,826,60,Female,Unknown,Slight,Passenger
212,826,22,Male,Not passenger,Serious,Driver or rider
213,826,68,Female,Not passenger,Slight,Pedestrian
214,826,47,Male,Not passenger,Slight,Passenger
215,826,72,Female,Not passenger,Serious,Pedestrian
216,826,68,Male,Rear seat,Slight,Passenger
217,826,15,Male,Not passenger,Serious,Passenger
218,826,,Female,Not passenger,Slight,Pedestrian
219,826,10,Female,Not passenger,Slight,Pedestrian
220,826,17,Female,Not passenger,Slight,Passenger
221,826,26,Male,Not passenger,Serious,Driver or rider
222,826,19,Female,Not passenger,Serious,Passenger
223,826,19,Male,Not passenger,Fatal,Passenger
224,826,35,Female,Not passenger,Serious,Driver or rider
225,826,66,Female,Front seat,Slight,Passenger
226,826,19,Male,Front seat,Slight,Passenger
227,826,12,Female,Not passenger,Slight,Driver or rider
228,826,2,Male,Not passenger,Slight,Pedestrian
229,826,9,Male,Not passenger,Serious,Pedestrian
230,826,49,Female,Not passenger,Serious,Pedestrian
231,826,13,Female,Front seat,Slight,Passenger
232,826,24,Male,Not passenger,Slight,Pedestrian
233,826,12,Male,Not passenger,Slight,Driver or rider
234,826,43,Female,Not passenger,Slight,Driver or rider
235,826,30,Female,Standing passenger,Slight,Passenger
236,826,63,Female,Not passenger,Serious,Driver or rider
237,826,9,Female,Rear seat,Slight,Passenger
238,826,19,Female,Rear seat,Slight,Passenger
239,826,67,Male,Not passenger,Serious,Pedestrian
240,826,21,Female,Front seat,Slight,Passenger
241,826,40,Male,Not passenger,Serious,Driver or rider
242,826,59,Female,Not passenger,Slight,Driver or rider
243,826,39,Male,Not passenger,Slight,Driver or rider
244,826,31,Male,Not passenger,Slight,Driver or rider
245,826,30,Male,Not passenger,Slight,Pedestrian
246,826,20,Male,Rear seat,Slight,Passenger
247,826,23,Male,Not passenger,Serious,Driver or rider
248,826,79,Female,Not passenger,Serious,Pedestrian
249,826,61,Female,Not passenger,Serious,Pedestrian
250,826,6,Male,Not passenger,Serious,Pedestrian
251,826,13,Male,Not passenger,Slight,Pedestrian
252,826,34,Female,Not passenger,Slight,Driver or rider
253,826,47,Female,Not passenger,Slight,Driver or rider
254,826,26,Male,Not passenger,Slight,Passenger
255,826,20,Female,Front seat,Slight,Passenger
256,826,26,Male,Front seat,Slight,Passenger
257,826,64,Female,Not passenger,Slight,Driver or rider
258,826,47,Male,Not passenger,Slight,Driver or rider
259,826,27,Male,Front seat,Slight,Passenger
260,826,14,Female,Not passenger,Slight,Pedestrian
261,826,65,Male,Not passenger,Slight,Pedestrian
262,826,43,Male,Not passenger,Serious,Driver or rider
263,826,18,Female,Not passenger,Serious,Passenger
264,826,37,Female,Front seat,Slight,Passenger
265,826,50,Male,Not passenger,Slight,Passenger
266,826,75,Male,Not passenger,Serious,Pedestrian
267,826,32,Male,Not passenger,Slight,Pedestrian
268,826,19,Female,Not passenger,Slight,Pedestrian
269,826,15,Female,Not passenger,Serious,Pedestrian
270,826,9,Female,Front seat,Serious,Passenger
271,826,46,Male,Not passenger,Serious,Driver or rider
272,826,39,Female,Not passenger,Slight,Driver or rider
273,826,45,Female,Not passenger,Slight,Pedestrian
274,826,17,Male,Not passenger,Slight,Pedestrian
275,826,20,Male,Not passenger,Slight,Pedestrian
276,826,39,Female,Front seat,Serious,Passenger
277,826,11,Male,Not passenger,Serious,Driver or rider
278,826,25,Female,Not passenger,Serious,Pedestrian
279,826,59,Male,Front seat,Slight,Passenger
280,826,25,Female,Front seat,Serious,Passenger
281,826,84,Male,Not passenger,Slight,Driver or rider
282,826,7,Male,Not passenger,Slight,Driver or rider
283,826,18,Male,Rear seat,Slight,Passenger
284,826,60,Female,Boarding/alighting,Slight,Passenger
285,826,48,Male,Not passenger,Slight,Driver or rider
286,826,30,Male,Not passenger,Serious,Driver or rider
287,826,22,Female,Not passenger,Fatal,Pedestrian
288,826,21,Male,Not passenger,Serious,Driver or rider
289,826,75,Female,Not passenger,Slight,Pedestrian
290,826,70,Female,Boarding/alighting,Slight,Passenger
291,826,30,Female,Front seat,Slight,Passenger
292,826,25,Male,Front seat,Slight,Passenger
293,826,48,Female,Not passenger,Slight,Driver or rider
294,826,64,Male,Not passenger,Slight,Driver or rider
295,826,51,Female,Not passenger,Slight,Driver or rider
296,826,6,Male,Not passenger,Slight,Pedestrian
297,826,63,Female,Not passenger,Slight,Passenger
298,826,49,Female,Not passenger,Slight,Passenger
299,826,34,Female,Front seat,Slight,Passenger
300,826,20,Female,Not passenger,Slight,Passenger
301,826,69,Male,Unknown,Slight,Passenger
302,826,16,Female,Not passenger,Slight,Pedestrian
303,826,59,Male,Not passenger,Slight,Pedestrian
304,826,35,Male,Not passenger,Serious,Passenger
305,826,19,Female,Front seat,Slight,Passenger
306,826,39,Male,Not passenger,Serious,Driver or rider
307,826,60,Female,Not passenger,Slight,Driver or rider
308,826,58,Female,Not passenger,Slight,Pedestrian
309,826,26,Male,Rear seat,Slight,Passenger
310,826,78,Male,Not passenger,Slight,Pedestrian
311,826,8,Male,Not passenger,Slight,Driver or rider
312,826,7,Male,Not passenger,Serious,Pedestrian
313,826,50,Male,Not passenger,Slight,Driver or rider
314,826,8,Female,Not passenger,Slight,Pedestrian
315,826,65,Male,Not passenger,Serious,Driver or rider
316,826,16,Female,Front seat,Slight,Passenger
317,826,8,Female,Not passenger,Slight,Passenger
318,826,43,Female,Front seat,Serious,Passenger
319,826,40,Male,Front seat,Slight,Passenger
320,826,63,Male,Not passenger,Serious,Driver or rider
321,826,68,Male,Not passenger,Slight,Pedestrian
322,826,17,Male,Front seat,Serious,Passenger
323,826,30,Female,Rear seat,Slight,Passenger
324,826,12,Male,Not passenger,Serious,Driver or rider
325,826,24,Female,Front seat,Slight,Passenger
326,826,28,Female,Not passenger,Slight,Passenger
327,826,20,Male,Front seat,Serious,Passenger
328,826,27,Male,Not passenger,Serious,Driver or rider
329,826,32,Female,Rear seat,Serious,Passenger
330,826,39,Female,Not passenger,Slight,Pedestrian
331,826,22,Male,Not passenger,Fatal,Passenger
332,826,23,Female,Front seat,Slight,Passenger
333,826,18,Female,Not passenger,Slight,Passenger
334,826,29,Male,Not passenger,Slight,Driver or rider
335,826,18,Female,Not passenger,Slight,Driver or rider
336,826,63,Female,Unknown,Slight,Passenger
337,826,37,Male,Not passenger,Serious,Driver or rider
338,826,7,Male,Seated passenger,Slight,Passenger
339,826,13,Female,Not passenger,Slight,Pedestrian
340,826,42,Male,Not passenger,Slight,Driver or rider
341,826,14,Female,Not passenger,Slight,Passenger
342,826,9,Female,Front seat,Slight,Passenger
343,826,42,Male,Not passenger,Serious,Passenger
344,826,64,Female,Rear seat,Slight,Passenger
345,826,49,Male,Front seat,Slight,Passenger
346,826,15,Male,Not passenger,Serious,Pedestrian
347,826,17,Female,Rear seat,Slight,Passenger
348,826,80,Female,Not passenger,Slight,Pedestrian
349,826,,Male,Not passenger,Slight,Pedestrian
350,826,39,Male,Not passenger,Fatal,Driver or rider
351,826,19,Female,Not passenger,Serious,Driver or rider
352,826,27,Female,Rear seat,Slight,Passenger
353,826,13,Male,Rear seat,Slight,Passenger
354,826,37,Male,Rear seat,Serious,Passenger
355,826,12,Male,Standing passenger,Slight,Passenger
356,826,17,Female,Front seat,Slight,Passenger
357,826,59,Male,Not passenger,Serious,Driver or rider
358,826,25,Female,Not passenger,Serious,Driver or rider
359,826,62,Male,Not passenger,Slight,Pedestrian
360,826,85,Male,Not passenger,Slight,Driver or rider
361,826,65,Female,Not passenger,Serious,Pedestrian
362,826,9,Male,Boarding/alighting,Slight,Passenger
363,826,18,Male,Not passenger,Slight,Passenger
364,826,16,Female,Not passenger,Serious,Passenger
365,826,3,Female,Not passenger,Slight,Passenger
366,826,67,Male,Not passenger,Slight,Pedestrian
367,826,55,Female,Not passenger,Slight,Pedestrian
368,826,57,Female,Not passenger,Fatal,Driver or rider
369,826,11,Male,Not passenger,Slight,Pedestrian
370,826,22,Female,Not passenger,Slight,Passenger
371,826,38,Male,Not passenger,Slight,Driver or rider
372,826,29,Male,Not passenger,Slight,Pedestrian
373,826,17,Female,Not passenger,Serious,Pedestrian
374,826,15,Male,Not passenger,Slight,Passenger
375,826,20,Female,Seated passenger,Slight,Passenger
376,826,64,Female,Front seat,Slight,Passenger
377,826,21,Female,Rear seat,Serious,Passenger
378,826,14,Female,Rear seat,Slight,Passenger
379,826,17,Female,Not passenger,Serious,Driver or rider
380,826,28,Male,Rear seat,Slight,Passenger
381,826,28,Unknown,Not passenger,Slight,Pedestrian
382,826,70,Male,Not passenger,Serious,Driver or rider
383,826,8,Female,Not passenger,Serious,Pedestrian
384,826,55,Female,Unknown,Slight,Passenger
385,826,58,Female,Rear seat,Slight,Passenger
386,826,40,Female,Not passenger,Slight,Pedestrian
387,826,84,Male,Not passenger,Serious,Pedestrian
388,826,52,Male,Not passenger,Slight,Driver or rider
389,826,17,Female,Not passenger,Slight,Driver or rider
390,826,66,Female,Not passenger,Slight,Pedestrian
391,826,91,Male,Not passenger,Fatal,Pedestrian
392,826,25,Female,Not passenger,Slight,Pedestrian
393,826,32,Male,Not passenger,Serious,Pedestrian
394,826,42,Male,Not passenger,Fatal,Driver or rider
395,826,78,Female,Front seat,Slight,Passenger
396,826,31,Male,Rear seat,Slight,Passenger
397,826,27,Female,Not passenger,Serious,Pedestrian
398,826,31,Female,Not passenger,Slight,Driver or rider
399,826,58,Female,Front seat,Slight,Passenger
400,826,16,Male,Rear seat,Slight,Passenger
401,826,40,Male,Not passenger,Slight,Pedestrian
402,826,31,Female,Front seat,Serious,Passenger
403,826,68,Female,Front seat,Slight,Passenger
404,826,28,Male,Not passenger,Slight,Pedestrian
405,826,11,Male,Not passenger,Serious,Pedestrian
406,826,19,Male,Front seat,Serious,Passenger
407,826,49,Male,Not passenger,Serious,Driver or rider
408,826,21,Male,Front seat,Slight,Passenger
409,826,65,Male,Boarding/alighting,Slight,Passenger
410,826,86,Female,Unknown,Slight,Passenger
